date,source,position,tour,provider
2026-06-10,freetour,1,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-06-10,freetour,2,"Places Parisians Love: Classic Treasures, Hidden Gems & Locals' Picks",Discover Walks - more to do and see
2026-06-10,freetour,3,Hidden Gems of Ile de la Cité and Notre-Dame Free Tour,Mori Tours
2026-06-10,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-10,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-10,guruwalk,3,Paris Time Machine: Untold Stories & Hidden Places,Quentin & Co Walking Tours
2026-06-11,freetour,1,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-06-11,freetour,2,"Places Parisians Love: Classic Treasures, Hidden Gems & Locals' Picks",Discover Walks - more to do and see
2026-06-11,freetour,3,Hidden Gems of Ile de la Cité and Notre-Dame Free Tour,Mori Tours
2026-06-11,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-11,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-06-11,guruwalk,3,Paris Time Machine: Untold Stories & Hidden Places,Quentin & Co Walking Tours
2026-06-17,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-17,freetour,2,Perfume Museum & Opera Quarter Tour,StellarTours
2026-06-17,freetour,3,Paris Latin Quarter Historic Walking Tour: Roman Ruins to the Panthéon,Kaspar Dupues
2026-06-17,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-17,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-06-17,guruwalk,3,"Le Marais: Paris Hidden Gem, Jewish Quarter with Walkative!",Walkative! Tours
2026-06-18,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-18,freetour,2,Perfume Museum & Opera Quarter Tour,StellarTours
2026-06-18,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-18,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-18,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-06-18,guruwalk,3,"Le Marais: Paris Hidden Gem, Jewish Quarter with Walkative!",Walkative! Tours
2026-06-19,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-19,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-19,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-06-19,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-19,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-19,guruwalk,3,"Paris Starts Here: Stories, Secrets & Iconic Landmarks",Essential Tours
2026-06-20,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-20,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-20,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-06-20,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-20,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-20,guruwalk,3,"Paris Starts Here: Stories, Secrets & Iconic Landmarks",Essential Tours
2026-06-21,freetour,1,Perfume Museum & Opera Quarter Tour,StellarTours
2026-06-21,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-21,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-21,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-21,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-21,guruwalk,3,"Paris Starts Here: Stories, Secrets & Iconic Landmarks",Essential Tours
2026-06-22,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-22,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-22,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-06-22,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-22,guruwalk,2,Paris Time Machine: Hidden Gems of the City,Quentin & Co Walking Tours
2026-06-22,guruwalk,3,"Iconic tour of the old Paris, Saint-Germain and Saint-Michel Area",Morgan
2026-06-22,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-22,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-22,freetour,3,The Original Free Tour of Paris,SANDEMANs Tours - Paris
2026-06-22,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-22,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-22,guruwalk,3,Paris Time Machine: Hidden Gems of the City,Quentin & Co Walking Tours
2026-06-23,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-23,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-23,freetour,3,Le Marais Free Tour: Where Parisians Go,Discover Walks - more to do and see
2026-06-23,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-23,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-23,guruwalk,3,"Iconic tour of the old Paris, Saint-Germain and Saint-Michel Area",Morgan
2026-06-24,freetour,1,Perfume Museum & Opera Quarter Tour,StellarTours
2026-06-24,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-24,freetour,3,Le Marais Free Tour: Where Parisians Go,Discover Walks - more to do and see
2026-06-24,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-24,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-06-24,guruwalk,3,Free Tour of the Eiffel Tower - The Most Majestic Tour in Paris,Wokitour
2026-06-25,freetour,1,Perfume Museum & Opera Quarter Tour,StellarTours
2026-06-25,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-25,freetour,3,Le Marais Free Tour: Where Parisians Go,Discover Walks - more to do and see
2026-06-25,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-25,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-25,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
2026-06-26,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-26,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-26,freetour,3,Le Marais Free Tour: Where Parisians Go,Discover Walks - more to do and see
2026-06-26,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-26,guruwalk,2,"Iconic tour of the old Paris, Saint-Germain and Saint-Michel Area",Morgan
2026-06-26,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-27,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-27,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-27,freetour,3,Le Marais Free Tour: Where Parisians Go,Discover Walks - more to do and see
2026-06-27,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-27,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-06-27,guruwalk,3,Free Tour of the Eiffel Tower - The Most Majestic Tour in Paris,Wokitour
2026-06-28,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-28,freetour,2,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-28,freetour,3,Le Marais Free Tour: Where Parisians Go,Discover Walks - more to do and see
2026-06-28,guruwalk,1,Montmartre: A Journey through the Art and History of Bohemian Paris,Vive latino tours
2026-06-28,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-06-28,guruwalk,3,"Magnificent Montmartre - Artists, Views & Cabarets",StellarTours
2026-06-29,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-29,freetour,2,Essential Paris City Center Tour,StellarTours
2026-06-29,freetour,3,Perfume Museum & Opera Quarter Tour,StellarTours
2026-06-29,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-29,guruwalk,2,Montmartre: A Journey through the Art and History of Bohemian Paris,Vive latino tours
2026-06-29,guruwalk,3,"Paris: Dark History, Ghosts and Legends Walking Tour",Denise
2026-06-30,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-06-30,freetour,2,Essential Paris City Center Tour,StellarTours
2026-06-30,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-06-30,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-06-30,guruwalk,2,"Paris: Dark History, Ghosts and Legends Walking Tour",Denise
2026-06-30,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-01,freetour,1,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-01,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-01,freetour,3,Perfume Museum & Opera Quarter Tour,StellarTours
2026-07-01,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-01,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-01,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-02,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-02,freetour,2,Perfume Museum & Opera Quarter Tour,StellarTours
2026-07-02,freetour,3,Essential Paris City Center Tour,StellarTours
2026-07-02,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-02,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-02,guruwalk,3,"Paris: Dark History, Ghosts and Legends Walking Tour",Denise
2026-07-03,freetour,1,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-03,freetour,2,Perfume Museum & Opera Quarter Tour,StellarTours
2026-07-03,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-07-03,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-03,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-03,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-04,freetour,1,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-04,freetour,2,Free Tour Eiffel Tower-Les Invalides-Place de la Concorde and More,My Tour In Paris
2026-07-04,freetour,3,Paris Time Machine : Hidden Gems of the City Free Tour,Quentin & Co Tours
2026-07-04,guruwalk,1,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-04,guruwalk,2,Essential Paris City Center Tour,StellarTours
2026-07-04,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-05,freetour,1,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-05,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-05,freetour,3,Free Tour Eiffel Tower-Les Invalides-Place de la Concorde and More,My Tour In Paris
2026-07-05,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-05,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-05,guruwalk,3,"Iconic tour of the old Paris, Saint-Germain and Saint-Michel Area",Morgan
2026-07-06,freetour,1,Essential Paris City Center Tour,StellarTours
2026-07-06,freetour,2,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-06,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-06,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-06,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-06,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-07,freetour,1,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-07,freetour,2,Essential Paris City Center Tour,StellarTours
2026-07-07,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-07,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-07,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-07,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-08,freetour,1,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-08,freetour,2,Essential Paris City Center Tour,StellarTours
2026-07-08,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-08,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-08,guruwalk,2,"Magnificent Montmartre - Artists, Views & Cabarets",StellarTours
2026-07-08,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-09,freetour,1,Essential Paris City Center Tour,StellarTours
2026-07-09,freetour,2,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-09,freetour,3,Perfume Museum & Opera Quarter Tour,StellarTours
2026-07-09,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-09,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-09,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-10,freetour,1,Essential Paris City Center Tour,StellarTours
2026-07-10,freetour,2,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-10,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-10,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-10,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-10,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-11,freetour,1,Essential Paris City Center Tour,StellarTours
2026-07-11,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-11,freetour,3,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-11,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-11,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-11,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-12,freetour,1,Essential Paris City Center Tour,StellarTours
2026-07-12,freetour,2,"Scandals, Gossips & History: Tales at Père Lachaise Cemetery Free Tour",Princeformatif Tours
2026-07-12,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-12,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-12,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-12,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-13,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-13,freetour,2,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-13,freetour,3,Essential Paris City Center Tour,StellarTours
2026-07-13,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-13,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-13,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-14,freetour,1,Essential Paris City Center Tour,StellarTours
2026-07-14,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-14,freetour,3,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-14,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-14,guruwalk,2,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-14,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-15,freetour,1,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-15,freetour,2,Essential Paris City Center Tour,StellarTours
2026-07-15,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-15,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-15,guruwalk,2,The Majestic Latin Quarter Tour,StellarTours
2026-07-15,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-16,freetour,1,Essential Paris City Center Tour,StellarTours
2026-07-16,freetour,2,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-16,freetour,3,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-16,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-16,guruwalk,2,The Majestic Latin Quarter Tour,StellarTours
2026-07-16,guruwalk,3,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-17,freetour,1,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-17,freetour,2,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-17,freetour,3,Perfume Museum & Opera Quarter Tour,StellarTours
2026-07-17,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-17,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-17,guruwalk,3,Paris Time Machine: The Hidden Gems of the City,Quentin & Co Walking Tours
2026-07-18,freetour,1,Essential Paris City Center Tour,StellarTours
2026-07-18,freetour,2,"Scandals, Gossips & Histoire: Tales at Père Lachaise Cemetery FreeTour",Princeformatif Tours
2026-07-18,freetour,3,Île de la Cité & Notre-Dame: The Birthplace of Paris Free Tour,Mori Tours
2026-07-18,guruwalk,1,Essential Paris City Center Tour,StellarTours
2026-07-18,guruwalk,2,The village of Montmartre without the crowds,Charing Cross Tours
2026-07-18,guruwalk,3,The Majestic Latin Quarter Tour,StellarTours
